Reviews,Label
Looking for the best tactical supplies? Look no mas. Police? EMT? Military? Civilian? Come to 5.11 and get your gear on!,positive
"Stood in line like an idiot for 5 minutes to purchase 2 pants and was ignored by 2 cashier's (One was doing inventory on a paper or something and the other unboxing somethings). Probably because how I was dressed and my skin color, I like being very comfortable on my days off. I throw my things on the counter and walked out. I will gladly take my money else where.",negative
Another great store with quality Equipment. The staff is super friendly and helpful and was able to help me find what I was looking for quickly,positive
"The Problem with this store is not that they have AWESOME customer service. It's not that their entire staff is absolutely FRIENDLY. It's not that their inventory is AMAZING, it's that I can never choose just one thing so I end up buying what I NEED and then just come back to buy what I WANT. It happens to me all the time I go there! I'm the, ""just take my money,"" guy when I'm there. See what I did there [insert devilish smile]... But seriously, I mean every word of awesomeness that I said. I'm already a huge and loyal fan of 5.11 products but it's the overall customer service and experience the staff provides and believe me, from the moment you walk in until the moment you walk out, without fail, you will be greeted, welcomed, asked if you have any questions, reminded that someone's always there for you, assisted, and overall satisfied and confident knowing that the experience will never change every time you visit and shop at their store. You can tell that 5.11 seriously cares about their patrons and customers by selecting the best employees to staff and represent their company! Way to go 5.11! You guys are awesome!",positive
Great place! We went in at almost closing time and we didn't feel rushed to purchase. The employees were knowledgeable and friendly.,positive
"Love this shop. the employees are incredibly friendly and patient with all o our questions. there's a large selection of men's and women's clothing. it's great to be able to try things on before purchasing, Even though the 5.11 catalog is extensive, it's sometimes hard to tell how some things will fit. My wallet is always a bit lighter whenever I leave the shop.",positive
"I'm with others' who tried to exchange something and were not able to. I spent nearly $600 on three pair of pants, three shirts and two belts. The pants that I bought had an expandable waistband which I did not see before getting them home. They didn't fit right from the start, then I noticed the waistband. I can't stand expandable waistbands. I'll take them to a tailor/seamstress and get them altered. They are very nice but when you spend that kind of money out of your own pocket and have a problem, you should be able to exchange them. The manager I spoke with was very professional and I could see he sympathized with me but there was nothing he could do. He did say they were having a big sale after Thanksgiving and YES! I'm going to see what they have. Rick C. Be Safe Firearms Instruction Las Vegas, NV.",negative
"Have bought 5.11 tactical shirts and pants on line and have been very satisfied. While in Las Vegas, my wife and I needed waterproof jackets to go whitewater rafting in the Grand Canyon. They had a great selection of everything including the jackets and we were quite pleased. Staff was very helpful and knowledgeable. Nice quality as expected an I was bone dry. Although I will continue to by online, I will shop here every time I come to Vegas.",positive
Everyone here is very nice and patient and when there is a sale they recommend the sale rack and recommend new items and free promotions !,positive
"I've bought products from this store online as well as at Bass Pro shops so you can imagine how happy I was when their own retail store opened up two years ago. Located off Dean Martin Drive and the Interstate 15 between Flamingo and Tropicana, the store is on a relatively central location off the strip. All the retail staff are knowledgeable and you can tell they believe in the high quality products they sell. They have clean fitting rooms as well as a wide selection of women's and men's apparel as well as tactical accessories. Keep a lookout for deals as I took advantage of their discounts during father's day weekend and other events. I like how this location now not only carries Yeti products but also has carries the high quality coffee brand that is made by military veterans. I literally walk into this store twice a year and spend a couple hundred dollars and am more than satisfied.",positive
"We had an awesome experience here. Karlie and Nessa (Vanessa) helped us a ton. We came in with a list and they knew exactly what he needed. Vanessa grabbed pants for him to try on and by the time he knew what size he needed, Karlie had already pulled everything else we needed from the shelves and was ready to ring us up. They had a few items that weren't in stock, but Karlie ordered them and we'll be able to pick them up as soon as they come in. She packed all of his items into the bag we purchased to make it easier to carry. She went above and beyond customer service by casually chatting with us while we browsed, sharing advice, and even telling me how to wash the pants we purchased. This was an awesome experience-we will definitely be back!",positive
The store is ALWAYS clean and organized and the team is on it. Thanks again Karlie for all the product knowledge and help!,positive
"Took advantage of their awesome Fathers day sale last week and spent a bit to get a lot of good deals! The staff were VERY helpful! One thing I can say is ""I'll be back!"". If I could make a suggestion, it would be to have a few shopping carts for tactical gear junkies like myself. I had to clutter their countertop with all of the items I was purchasing that were on sale. I think I actually used up all of their shopping bags on my purchase. Thank you, Las Vegas' 5.11 tactical store staff!",positive
"Karlie and Caitlin are awesome, every time we come in they are extremely knowledgeable and courteous. Great to deal with and we always leave happy",positive
"I attempted to exchange my comically oversized shirt and wasn't able to since it had been washed. If you have expensive merchandise in a poor location, you'd better damn well have excellent customer service if you hope to keep a loyal clientele. Good luck with that.",negative
"I was in need of a 1.5 inch tactical belt. I don't remember the girl that helped me but she suggested I size up. Thank god I did, the belt is perfect. I got the 511 trainer belt. Service was excellent. I will be back for a Qalo ring, and a new backpack soon. Thank you 511 tactical!",positive
Awesome customer service everyone of their employees went out of their way to make sure we had no questions and found everything we were looking for. The merchandise is killer. Can't beat their prices. Very clean and and well organized.,positive
"Although I have yet to meet Gage for myself, my husband particularly likes working with him to find what he needs and what other range employees need when he comes here. Usually John is never adamant about that kind of thing, but because he has mentioned it, I know this guy must be great. I came here the other day to look for some shoes I had seen online. Unfortunately, they didn't have it. However, I know I can order them from the store. Sweet. I ended up swooping a pair of pants though. I appreciate that they have a changing room, too. This isn't a dig on the store itself because it's not their fault, but some of the women's 5.11 products are pretty lame. Why don't they make anything in multicam or OD green for women? The shirt graphics are also a little corny. Maybe I'm just not tacticool enough or something. But they DO have their CCW bags and a full length mirror you can check yourself out in to see how you like it. This last trip up, customer service was great from the guy. The female was standoffish and definitely wasn't as nice to me as a few of the other ladies that walked in before me. She was happy to mention discounts and sales going on to them, but not to me. Oh well. I'll remember that next time and ask someone else for help if I need it.",positive
"Great selection, yes the prices are high but they mainly only sell 5.11 products which from my experience are of the highest quality. I had a issue with water getting into the leather on a tactical boot that I bought there they replaced it with out any issue. Staff is knowledgeable and attentive. Only problem is I can't get everything I want when I'm in there.",positive
"This place has all sorts of 5.11 goodies. Unfortunately,they have some serious issues when it comes to customer service. I picked out a number of items and went to the counter to get rung up. Not a lot of stuff, less than $100.00. For some reason, the cashier asks for my name, 'for the receipt'. Fine, I give it. They ring the items up, and I prepare to swipe a Visa Vanilla Cash Card, one of the ones you get with no customer name on it. The cashier says 'before you swipe, I need an I.D. Well this is something I have NEVER had asked when using these cards. There is no need for these guys to see your I.D. I decline to show, mostly because it is outside in the car. Cashier says' I need to see an I.D.' At this point, I have had enough. I guess they do enough business to turn people away, and I am very suspicious of what they are going to do with my personal information. So I tell them to get a clue, and walk out of the store. So all in all, don't bother, just use the internet.",negative
The staff is really nice and the clothes are great quality. They didnt have any sales though so your gonna be paying alot of money.,positive
"The customer service is amazing here. I literally downloaded this app because of the compassion towards there customers. I came in needing some new work pants. Not only were they more then willing to help, but they were extremely knowledgeable on there product. What really got me was I had recently just purchase a pare of pants from them several months ago. They were made 3 months old an the inseam of the pants. Long story short they took care of the issue. Mind you there not cheap product, but they have the best product an they stand by there name. If u ever happen to come in make sure you speak to Austin, Gage, Karlie. They are marvelous.",positive
I've purchased pants online from 5.11 and I really love them. I didn't know they had a store here in town. Went to check it out. They have a pretty big selection and all sizes including long inseams on pants. I mostly looked at the women's stuff. I was liked for gym shoes but didn't find what I was interested in from their online store. No worries though. When I need pants it will be nice to be able to try them on before buying. The employees were super nice. I was created right away and they were helpful. I ended up only buying a hat since I mostly just came down to check the place out as something interesting to do...but it's a kick ass hat haha. I'm be back for the pants later.,positive
"Great selection of high quality merchandise for outdoor activities such as camping, hiking, and exploring. Their outdoor clothing and backpack selection was exceptional along with a nice military grade boot inventory. The staff is absolutely fantastic, very personable, polite, and helpful. I would absolutely recommend this place for your outdoor activity needs. Enjoyed the experience at 5.11 Tactical.",positive
"I showed up a bit before noon on Saturday 9/17. I didn't expect to get any help as I figured that would be a busy time of day. Anyways, I had absolutely no intention of getting anything. I just needed to figure out the correct size I needed in a pair of their pants. (Work was going to buy them). Well, the staff was beyond helpful. I decided to look around and got a few things because of how great they were. You can tell that the crew working that day liked each other and their job. I'll be back. I wish customer service was always this good.",positive
"Great place. All the employees were friendly and eager to help. The prices were very low compared to Calvada or American Shooters. The only thing was I wished they had more of a women's selection for tops, but what can you do.",positive
"Not a bad place if you like 5:11 511 or 5:11 lol they definitely have a decent selection of commonly needed items and offer knowledgeable service on the carried product but because it is a corporate store and corporately trained . what is lacking is the customer service and attention to detail that you get from a mom and pop shop so if you like all the flash look coolness....go here.. to me the service is better at other supply houses that also offer you other brands of non clothing items so it can be a one stop shop with complete service for all your needs instead of running all over town 4 common items that you need . it appears that they are trying to open all their own stores to pigeonhole out the little Guy from carrying their product. it comes across as pure greed!! To be honest the last two pair of shoes / duty boots I purchased fell apart extremely quickly if the quality of the product keeps going down and they seem to just want more money ....proper seems to be making a better product these days, and that might be the route we will have to go .this does tend to cater more to the civilian market who like to look operatorish . lol they did not even have patches that were not made by 5:11 it is the equivalent of going to a 511 Walmart I hope they care enough to take note",negative
"This store has every single piece of 5.11 gear and a bit more. Friendly people and pretty good prices, 5.11 prices are the same everywhere you go. They also had specific 5.11 Las Vegas tee shirts too. Very cool!",positive
"This store is awesome has everything you want and more for both gals and guys!! The quality of their merchandise is amazing, the customer service is out of this world and the employees are always so nice and so knowledgeable!! Perfect place to get the perfect gift no place like it!!",positive
Lots of people standing around talking about what they did last night. Not one person asked if we needed help at any point in our 30 minute visit. Why so many employees? Are they strictly cashiers and not supposed to greet and help out customers. Lame,negative
I have tried to skate this place several times but it's always closed. It would be nice if they were open for people who skate on the weekends.,negative
"I had skate here many times and everyone is so friendly and the park is really good. The staff will offer to help you out for free some times and I gotta say, I learned a lot from those quick lessons. If you don't have a board you can rent one for super cheap and the admission is also really cheap. I will continue to come back here and skate I love this park!",positive
There is no structure to their lessons. A lesson could have one kids or six. Many times the teacher gives little to no attention to your child. We tried to talk to the owner and left voicemails and wrote emails...no answer.,negative
Great Skate Park for the whole family. Great people. Staff is amazing. Thank you for making such a great environment.,positive
"Great facility run by awesome people. My son never touched a skateboard before this week and within 30 minutes he was dropping in. He's a good athlete so all results won't be the same but the teacher is good, knows his stuff and loves what he does. If you got a kid who skates or wants to learn this is a fantastic place to check out.",positive
"Very nice and clean indoor skate park. The young man that helped me was very informative on the going ons of the place. Came in looking to get items for a young skater,he took the time to help with what I would really need and not what I came in for. Some would say that that's a salesman but when he talked me out of spending 100s,when all I needed was 35,that's a tru person of the sport. I will be back for more.",positive
"This place is awesome! Just a very friendly and positive environment that is great for all skaters, especially the younger ones! Clean and spacious with reasonable prices, not much else you can ask for. My younger brother loved it and I'm sure all skaters would!",positive
Indoors for the AZ Heat and coaches such as myself to help influence the next generation of skateboarding. Come in and say hi!,positive
I love this place. Mike who runs the place is super cool and excellent with kids. Our coach for my son Greg and JJ are also pretty dope. They've taught my son a lot and we went from having 100% fear to having almost none at all. We do the skate lessons and will continue to do so. This place is awesome. Thanks guys a lot!,positive
"What a cool concept! Skateboard park INDOORS! Brilliant idea for arizona heat. Skateboarding is just so cool for kids of all ages and we can look for it with adults in the Olympics too. Mike has done a great job with this place. He teaches lessons and his son, Laser is pretty awesome on the skateboards himself. Mike has a passion for skateboarding and teaching kids how to board. He's cleaning up the sport one kid at a time. This undoor fun skate board park opened 2 months ago and you can buy memberships. Dont be scared if you're not great yet cause thats what the leasons are for. Also, they sell ramps and skateboards so you can find what you need here. Interior is way cool and your kids will fall in love and wont want to leave. Great way to keep them active, out of the son and having fun!",positive
"I love coming here! The drink's and food choices aren't much above your typical cafe, but what distinguishes itself is the atmosphere of a kwerky little cafe shop where you can crack out a chess board for a couple hours.",negative
Enjoyed an ice coffee and grilled cheese today. Nice homey old fashioned decor with a built in used bookstore. Service was awesome and super friendly.,positive
"I was walking along main street when I passed by this place. It caught my attention as it had shelves of books in the back, like a library. Only it's a cafe. Some of the books have price tags on them so I'm assuming you can buy the books. The drinks and food were reasonably priced. You have to add your own milk and sugar to your drink. The pastries/food didn't look that great, but maybe they taste better than they look. There's also a card you can get stamped so you get a free beverage for every 10 you buy. I ordered a coffee ($1.75 after taxes). There isn't much to say about it, it was a regular coffee. I enjoyed the atmosphere of the cafe. It's a nice place to sit and relax. Plus the seats were comfy! There were also a small assortment of boardgames that you can play.",negative
"Stumbled across this gem after eating dinner nearby. It has used books, ice cream, coffee, and pastries, and a lot of charm. I can't put my finger on it, but those aforementioned things, as well as old antique furniture and friendly staff made this place seem pretty magical to me. Take a look inside and grab a coffee while you're at it.",positive
"Love this cafe! Lots of character! Great cakes and tea! Every time we go there it's so peaceful there, and lots of books to pick.",positive
